Date,FB,AMZN,AAPL,NFLX,GOOGL,FB_Ret,AMZN_Ret,AAPL_Ret,NFLX_Ret,GOOGL_Ret,NASDAQ,NASDAQ_Ret
2016-06-09,118.56,727.65,23.39,97.09,742.52,0.0014359320888588376,0.0013899592645600922,0.007321274763135266,-0.007868383404864066,-0.000551868951314316,4958.62,-0.0032203335316727255
2016-06-10,116.62,717.91,23.2,93.75,733.19,-0.01636302294197034,-0.013385556242699105,-0.008123129542539577,-0.03440107117107838,-0.012565318105909551,4894.55,-0.012920933646861421
2016-06-13,113.95,715.24,22.85,93.85,731.88,-0.022894872234608173,-0.0037191291387499437,-0.015086206896551603,0.0010666666666665492,-0.0017867128575131954,4848.44,-0.009420682187330942
2016-06-14,114.94,719.3,22.87,94.12,733.25,0.008688021061869167,0.005676416307812682,0.0008752735229760057,0.002876931273308569,0.001871891566923578,4843.55,-0.001008571829289262
2016-06-15,114.6,714.26,22.8,94.29,732.19,-0.002958065077431682,-0.007006812178506849,-0.003060778312199419,0.0018062048448788113,-0.0014456188203204599,4834.93,-0.0017796863870508384
2016-06-16,114.39,717.51,22.89,95.44,724.25,-0.0018324607329842648,0.004550163805897123,0.003947368421052699,0.012196415314455368,-0.010844179789399,4844.92,0.00206621398862028
2016-06-17,113.02,706.39,22.37,94.45,704.25,-0.011976571378617074,-0.015498041839138166,-0.022717343818261185,-0.010373009220452591,-0.02761477390403866,4800.34,-0.009201390322234437
2016-06-20,113.37,714.01,22.32,93.8,706.13,0.003096797027074993,0.010787242175002376,-0.002235136343316957,-0.0068819481206988655,0.002669506567270164,4837.21,0.007680705949995259
2016-06-21,114.38,715.82,22.51,90.99,708.88,0.008908882420393338,0.0025349785017017012,0.008512544802867339,-0.029957356076759086,0.003894467024485593,4843.76,0.0013540863431606986
2016-06-22,113.91,710.6,22.43,90.01,710.47,-0.0041091099842629495,-0.007292336062138527,-0.003553976010661985,-0.010770414331245036,0.00224297483354019,4833.32,-0.0021553503889540915
2016-06-23,115.08,722.08,22.55,91.66,714.87,0.0102712667895708,0.016155361666197576,0.005349977708426268,0.01833129652260856,0.006193083451799586,4910.04,0.015873147236268315
2016-06-24,112.08,698.96,21.92,88.44,685.2,-0.026068821689259614,-0.032018612896077984,-0.027937915742793692,-0.035129827623827214,-0.04150404968735566,4707.98,-0.04115241423695126
